city,state,pet_id,name,breed
West Seneca,NY,48751574,LEVI,Pit Bull Terrier
West Seneca,NY,48751581,ROXEE,Schnauzer
Bartlesville,OK,48751591,Patches,Pit Bull Terrier
Bartlesville,OK,48751590,Gemma,Retriever
Woodbury,MN,48751566,Kurry,Labrador Retriever
Bartlesville,OK,48751589,Billie,Retriever
Norman,OK,48751562,Little Boomer,Chihuahua
Rochester Hills,MI,48751565,Elsa,Beagle
Bartlesville,OK,48751564,Toby,Pit Bull Terrier
Norman,OK,48751557,Zoey,Chihuahua
Coon Rapids,MN,48751555,Esme,Pit Bull Terrier
Golden Valley,MN,48751546,Mae,Pit Bull Terrier
Golden Valley,MN,48751547,Rocky,Labrador Retriever
Independence,MO,48751517,Sparky,Chihuahua
Reno,NV,48751530,Shorty,Schipperke
Houston,TX,48751541,ROWDY,Shepherd
Independence,MO,48751518,Aurora,Labrador Retriever
Spartanburg,SC,48751540,Buddy,Parson Russell Terrier
Bowling Green,KY,48751515,Cream,Saint Bernard
Maumee,OH,48751503,Andromeda,Mixed Breed
La Harpe,KS,48751507,Oakley,Cattle Dog
Maumee,OH,48751504,Condor,Mixed Breed
Owensboro,KY,48751505,Sadie HW(-),Pit Bull Terrier
Largo,FL,48751493,Aero,Terrier
Largo,FL,48751494,Juan,Retriever
Noblesville,IN,48751496,Gertrude,Beagle
Chamblee,GA,48751497,Adora - ADOPTED,Mixed Breed
New Castle,DE,48751491,Kojack,Siberian Husky
New Castle,DE,48751492,Kiko,Shiba Inu
Justin,TX,48751392,Sloan,German Shepherd Dog
Tavares,FL,48751397,HANK,German Shepherd Dog
Tavares,FL,48751394,KLAUS,American Staffordshire Terrier
Seattle,WA,48751377,Kira,German Shepherd Dog
Justin,TX,48751378,Sasha,German Shepherd Dog
El Paso,TX,48751351,Fuego,Mixed Breed
Coupeville,WA,48751350,Babe,Shetland Sheepdog
LINDSAY,CA,48751379,Max (GrandPaws),Chihuahua
Longview,TX,48751371,Uma Thurman,Chihuahua
League City,TX,48751250,Tank - Complimentary Post,American Bully
Red Deer,AB,48751360,Mickey,Karelian Bear Dog
Huntington,WV,48751356,Pixie,Terrier
Livingston,TX,48751341,Jazzy,Australian Cattle Dog
Coupeville,WA,48751347,Geina,Collie
Wasco,CA,48751054,(ATARI) AVAILABLE AUG 24 2020,Border Collie
Spring Hill,FL,48751215,Vera,Terrier
Coupeville,WA,48751327,Bo,Collie
Converse,TX,48751336,Jamo 1066,Labrador Retriever
Livingston,TX,48751324,Casper,Labrador Retriever
Justin,TX,48751249,Hamilton,Catahoula Leopard Dog
Enid,OK,48751332,Pilot,Terrier
Livingston,TX,48751310,Lily,Labrador Retriever
Dallas,TX,48751317,JACK,Shepherd
Dallas,TX,48751316,HONEY,Shepherd
Coldwater,MI,48751216,Mila,Labrador Retriever
Cranston,RI,48751309,Diamond in TX,Rat Terrier
PHOENIX,AZ,48751182,Klaus,Cattle Dog
Converse,TX,48751252,John 1070,Labrador Retriever
Converse,TX,48751251,Lara 1067,Labrador Retriever
Marseilles,IL,48751230,Patch,Pointer
Miami,FL,48751248,Baby Jill,Terrier
League City,TX,48751062,Rose - Complimentary Post,Pit Bull Terrier
Hattiesburg,MS,48751233,Persephone,Shepherd
Hattiesburg,MS,48751234,Persimmon,Shepherd
Hattiesburg,MS,48751235,Presley,Shepherd
Orange,CA,48751227,Duncan,Papillon
Mentone,CA,48751217,Luckey,Spaniel
Knoxville,TN,48751213,Rascal,Siberian Husky
Converse,TX,48751211,Gianna 1071,Labrador Retriever
Charlottesville,VA,48751208,Babble,Mixed Breed
Charlottesville,VA,48751209,Quiche,Labrador Retriever
Charlottesville,VA,48751210,Sangria,Mixed Breed
Monterey,CA,48751204,Pico,Chihuahua
Lawrenceville,GA,48751201,Pen 185 Piper,Shepherd
Evansville,IN,48751190,Bartley,Beagle
Fenton,MI,48748269,MARKY,Beagle
Madisonville,KY,48750864,Citrus,Terrier
Phoenix,AZ,48751181,NICOLE,Pit Bull Terrier
Rockford,IL,48751174,A432436,Chihuahua
Santa Maria,CA,48751173,TEHTIA,Miniature Pinscher
Saint Louis,MO,48751166,REGGIE,Beagle
Saint Louis,MO,48751168,ROMAN,Plott Hound
Saint Louis,MO,48751167,REID,Labrador Retriever
